ID,NAME,NAME_DE,IMAGE,Description,Descritpion_DE,Skills,Apts
sororitas,Adepta Sororitas,Adepta Sororitas,sororitas.png,"The Adepta Sororitas, also known as the Sisters of Battle, are an all-female militant order dedicated to the Imperial Creed and the service of the Ecclesiarchy. They are fanatically devout warriors who combine martial prowess with unshakable faith, wielding holy weapons to purge heretics, witches, and xenos in the name of the Emperor.","Die Adepta Sororitas, auch bekannt als die Schwestern des Kampfes, sind ein rein weiblicher Kampforden, der dem imperialen Glauben und dem Dienst der Ekklesiarchie gewidmet ist. Sie sind fanatisch gläubige Kriegerinnen, die Kampfkraft mit unerschütterlichem Glauben verbinden und heilige Waffen führen, um Ketzer, Hexen und Xenos im Namen des Imperators zu reinigen.",,Offence|Social
admin,Adeptus Administratum,Adeptus Administratum,admin.png,"The Adeptus Administratum is the vast bureaucratic arm of the Imperium, responsible for managing the endless records, logistics, and tithes that keep the galaxy-spanning empire functioning. Its members are clerks, scribes, and officials who labor tirelessly to maintain order amidst the chaos of the Imperium’s endless demands.","Das Adeptus Administratum ist der gewaltige bürokratische Arm des Imperiums, der für die Verwaltung der endlosen Aufzeichnungen, Logistik und Zehnten verantwortlich ist, die das galaxisweite Imperium am Laufen halten. Seine Mitglieder sind Schreiber, Beamte und Funktionäre, die unermüdlich daran arbeiten, Ordnung inmitten der unzähligen Anforderungen des Imperiums aufrechtzuerhalten.",,Knowledge|Social
arbite,Adeptus Arbites,Adeptus Arbites,arbite.png,"The Adeptus Arbites are the Imperium’s enforcers of law and order, tasked with upholding the Emperor’s justice across countless worlds. They are judge, jury, and executioner, wielding brutal efficiency to suppress rebellion, punish heresy, and enforce Imperial edicts. Known for their unwavering loyalty, they operate above planetary laws to ensure compliance with the will of Terra.","Das Adeptus Arbites ist die Strafverfolgungsbehörde des Imperiums, die für die Aufrechterhaltung von Gesetz und Ordnung auf unzähligen Welten verantwortlich ist. Sie agieren als Richter, Geschworene und Henker und setzen mit brutaler Effizienz Rebellionen nieder, bestrafen Ketzerei und setzen die Erlasse des Imperators durch. Bekannt für ihre unerschütterliche Loyalität stehen sie über den planetaren Gesetzen, um die Befolgung des Willens von Terra zu gewährleisten.",,Offence|Defense
telepathica,Adeptus Astra Telepathica,Adeptus Astra Telepathica,astra.png,"The Adeptus Astra Telepathica is the Imperial institution responsible for training and regulating psykers. It oversees the Scholastica Psykana, where psykers are tested, sanctioned, and taught to safely wield their powers. Its members include Astropaths, soul-bound to the Emperor, who ensure communication across the vastness of the galaxy through the Warp.","Das Adeptus Astra Telepathica ist die imperiale Institution, die für die Ausbildung und Regulierung von Psionikern verantwortlich ist. Es überwacht die Scholastica Psykana, in der Psioniker getestet, gesegnet und darin ausgebildet werden, ihre Kräfte sicher einzusetzen. Zu seinen Mitgliedern gehören Astropathen, die durch die Seelenbindung an den Imperator gebunden sind und die Kommunikation über die Weiten der Galaxis hinweg durch den Warp gewährleisten.",,Defence|Psyker
mechanicus,Adeptus Mechanicus,Adeptus Mechanicus,admech.png,"The Adeptus Mechanicus is the Imperium’s technological priesthood, dedicated to the worship of the Machine God and the preservation of ancient knowledge. They are the masters of science, engineering, and the arcane technologies of the Imperium. From Forge Worlds, they provide weapons, starships, and countless other tools of war, blending faith and function in their pursuit of the Omnissiah’s will.","Das Adeptus Mechanicus ist die technologische Priesterschaft des Imperiums, die dem Maschinengott huldigt und altes Wissen bewahrt. Sie sind Meister der Wissenschaft, Ingenieurskunst und der arkanen Technologien des Imperiums. Von den Schmiedewelten aus liefern sie Waffen, Raumschiffe und unzählige andere Kriegswerkzeuge und verbinden Glauben und Funktion in ihrem Streben nach dem Willen des Omnissiah.",,Knowledge|Tech
ministorum,Adeptus Ministorum,Adeptus Ministorum,ministorum.png,"The Adeptus Ministorum, also known as the Ecclesiarchy, is the religious institution of the Imperium that enforces the Imperial Creed. Its priests, preachers, and missionaries spread the worship of the Emperor as the divine savior of humanity. The Ministorum commands immense influence, organizing holy crusades and maintaining shrines and cathedrals across the galaxy.","Das Adeptus Ministorum, auch bekannt als die Ekklesiarchie, ist die religiöse Institution des Imperiums, die den imperialen Glauben durchsetzt. Ihre Priester, Prediger und Missionare verbreiten die Verehrung des Imperators als göttlichen Retter der Menschheit. Das Ministorum besitzt enormen Einfluss, organisiert heilige Kreuzzüge und unterhält Schreine und Kathedralen in der gesamten Galaxis.",,Leadership|Social
exorcised,Exorciced,Exorzierter,exorcised.png,"Refers to individuals or objects that have undergone a ritual to cleanse them of Warp corruption, daemonic possession, or other heretical influences. Such rituals are conducted by sanctioned psykers, priests, or inquisitors and often leave lasting scars, both physical and spiritual, on the subject.","Bezieht sich auf Personen oder Objekte, die einem Ritual unterzogen wurden, um sie von Warp-Korruption, dämonischer Besessenheit oder anderen ketzerischen Einflüssen zu reinigen. Solche Rituale werden von gesegneten Psionikern, Priestern oder Inquisitoren durchgeführt und hinterlassen oft bleibende Spuren, sowohl körperlicher als auch geistiger Natur.",,Defense|Knowledge
heretek,Heretek,Häretiker,heretek.png,"A Heretek is a member of the Adeptus Mechanicus who has turned against the tenets of the Machine Cult, engaging in forbidden research, dealing with xenos technology, or worshiping the Dark Mechanicum. They are considered dangerous heretics and are hunted ruthlessly by loyalist Tech-Priests for their betrayal of the Omnissiah."," Ein Häretiker ist ein Mitglied des Adeptus Mechanicus, das sich gegen die Lehren des Maschinenglaubens gewandt hat, indem es verbotene Forschungen betreibt, mit Xenos-Technologien arbeitet oder dem Dunklen Mechanicum dient. Sie gelten als gefährliche Ketzer und werden von loyalen Tech-Priestern erbarmungslos für ihren Verrat am Omnissiah gejagt.",,Finesse|Tech
guard,Imperial Guard,Imperiale Armee,guard.png,"The Imperial Guard, officially known as the Astra Militarum, is the massive standing army of the Imperium, composed of countless regiments drawn from every corner of the galaxy. They serve as the primary ground forces, fighting wars of attrition against the Imperium’s myriad enemies. Despite their lack of advanced technology compared to the Adeptus Astartes, their sheer numbers and unyielding discipline make them a formidable force.","Die Imperiale Armee, offiziell bekannt als Astra Militarum, ist die gewaltige stehende Armee des Imperiums, bestehend aus unzähligen Regimentern, die aus allen Ecken der Galaxis rekrutiert werden. Sie dienen als primäre Bodentruppen und führen Abnutzungskriege gegen die zahllosen Feinde des Imperiums. Trotz ihres technologischen Nachteils im Vergleich zu den Adeptus Astartes machen ihre schiere Anzahl und ihre eiserne Disziplin sie zu einer beeindruckenden Streitmacht.",,Fieldcraft|Leadership
navy,Imperial Navy,Imperiale Flotte,navy.png,"The Imperial Navy is the vast fleet responsible for the defense and expansion of the Imperium’s interstellar territories. It provides warships, troop transports, and orbital support for ground operations. The Navy also patrols Imperial space, combats alien fleets, and ensures the flow of trade and tithes. Its officers and crew are drawn from the countless worlds of the Imperium, trained to uphold the Emperor’s will in the void.","Die Imperiale Flotte ist die gewaltige Raumstreitmacht, die für die Verteidigung und Expansion der interstellaren Gebiete des Imperiums verantwortlich ist. Sie stellt Kriegsschiffe, Truppentransporter und orbitale Unterstützung für Bodeneinsätze bereit. Die Flotte patrouilliert im imperialen Raum, bekämpft außerirdische Flotten und sichert den Fluss von Handel und Zehnten. Ihre Offiziere und Besatzungsmitglieder werden aus den unzähligen Welten des Imperiums rekrutiert und ausgebildet, um den Willen des Imperators im Weltraum durchzusetzen.",,Offence|Tech
