Obj,ID,Name,Name_De,image,Desc,Desc_De,PosChars,NegChars,Fate,Apt,Wounds,Bonus
agri,1,Agri-World,Agrarwelt,agri.png,"Feral worlds are planets where the dominant culture is trapped in a primitive state, often much lower technologically than that of other Imperial worlds. This makes feral worlders hardy, strong, tough, and able to survive in the worst of conditions.","Agrarwelten sind Planeten, die der großflächigen Nahrungsmittelproduktion dienen und unzählige imperiale Welten mit lebenswichtigen Vorräten versorgen. Die Bevölkerung besteht meist aus fleißigen Bauern, die durch Tradition gebunden sind und ein einfaches Leben führen, das sich auf das Pflanzen und Ernten konzentriert, um die Anforderungen des Imperiums zu erfüllen.",Fel|S,Ag,2|7,S,8+1d5,
daemon,2,Daemon World,Dämonenwelt,daemon.png,"Daemon worlds are planets consumed by the warp, twisted into nightmarish realms ruled by powerful Chaos entities. The laws of reality are warped, and time, space, and nature follow the will of the dark gods. Life here is a constant struggle for survival amid hellish landscapes and infernal horrors.","Dämonenwelten sind von den Mächten des Warp verschlungene Planeten, die zu albtraumhaften Reichen werden, die von mächtigen Chaoswesen beherrscht werden. Die Gesetze der Realität sind verzerrt, und Zeit, Raum und Natur folgen dem Willen der dunklen Götter. Das Leben hier ist ein ständiger Kampf ums Überleben in höllischen Landschaften und vor infernalischen Schrecken.",WP|Per,Fel,3|4,WP,7+1d5,
death,3,Death World,Todeswelt,death.png,"Death worlds are planets where the environment is so hostile that survival is nearly impossible. These worlds are plagued by deadly predators, toxic atmospheres, or violent natural phenomena. Only the toughest and most resilient individuals can endure life on such unforgiving worlds.","Todeswelten sind Planeten, deren Umwelt so feindselig ist, dass das Überleben nahezu unmöglich wird. Diese Welten sind von tödlichen Raubtieren, giftigen Atmosphären oder gewaltigen Naturphänomenen geplagt. Nur die härtesten und widerstandsfähigsten Individuen können auf solchen erbarmungslosen Welten bestehen.",Ag|Per,Fel,2|5,Fieldcraft,9+1d5,
feral,4,Feral World,Wilde Welt,feral.png,"Feral worlds are planets where the population lives in primitive, often tribal societies with little to no advanced technology. Harsh environments and constant conflict forge resilient, fierce, and resourceful people who excel in survival and combat.","Wilde Welten sind Planeten, auf denen die Bevölkerung in primitiven, oft stammesähnlichen Gesellschaften ohne Zugang zu fortschrittlicher Technologie lebt. Raue Umgebungen und ständige Konflikte formen widerstandsfähige, kampferprobte und einfallsreiche Menschen, die im Überleben und im Kampf brillieren.",S|T,Int,2|3,T,9+1d5,
feudal,5,Feudal World,Feudalwelt,feudal.png,"Feudal worlds are planets governed by a rigid hierarchical system reminiscent of medieval feudal societies. Lords, knights, and serfs dominate the social structure, with power concentrated in noble families. Life is shaped by loyalty, duty, and often brutal conflict, while technology remains limited or ritualized.","Feudalwelten sind Planeten, die von einem starren hierarchischen System regiert werden, das mittelalterlichen Feudalgesellschaften ähnelt. Herren, Ritter und Leibeigene bestimmen die soziale Struktur, wobei die Macht in den Händen adliger Familien konzentriert ist. Das Leben ist geprägt von Loyalität, Pflichterfüllung und oft brutalen Konflikten, während Technologie begrenzt oder ritualisiert eingesetzt wird.",Per|WS,Int,3|6,WS,9+1d5,
forge,6,Forge World,Schmiedewelt,forge.png,"Forge worlds are the main armouries and assembly lines of the Imperium. The denizens are likely to have been born to do a specific task, like their parents before them and their children that will come after, focusing their entire lives on a single job.","Eine Schmiedewelt ist ein Planet, der vom Adeptus Mechanicus beherrscht wird und vollständig der Produktion fortschrittlicher Technologie, Waffen und Maschinen für das Imperium gewidmet ist. Riesige Fabrikanlagen und Fertigungslinien dominieren die Landschaft, wo unzählige Arbeiter und Servitoren nach den strengen Doktrinen des Omnissiah schuften. Diese Welten sind das Herzstück der industriellen Macht des Imperiums und die Geburtsstätte vieler seiner mächtigsten Artefakte.",Int|T,Fel,3|8,Int,8+1d5,
frontier,7,Frontier World,Grenzwelt,frontier.png,"Frontier worlds are newly colonized or remote planets on the edge of Imperial control. Life here is harsh and uncertain, requiring settlers to be self-reliant, adaptable, and resilient. These worlds are often targets for alien raids, pirate attacks, and other dangers from the unexplored galaxy.","Grenzwelten sind neu besiedelte oder abgelegene Planeten am Rand der imperialen Kontrolle. Das Leben ist hart und ungewiss, weshalb die Siedler selbstständig, anpassungsfähig und widerstandsfähig sein müssen. Diese Welten sind oft das Ziel von Überfällen durch Aliens, Piratenangriffen und anderen Gefahren aus der unerforschten Galaxis.",BS|Per,Fel,3|7,BS,7+1d5,
garden,8,Garden World,Gartenwelt,garden.png,"Garden worlds are planets blessed with ideal climates, abundant natural resources, and breathtaking landscapes. They are often reserved for the Imperial elite or used as sanctuaries, centers of learning, or even monuments to the Imperium’s glory. Life here is peaceful and prosperous, though often isolated from the harsh realities of the wider galaxy.","Gartenwelten sind Planeten mit idealem Klima, reichen natürlichen Ressourcen und atemberaubenden Landschaften. Sie sind oft der imperialen Elite vorbehalten oder dienen als Rückzugsorte, Bildungszentren oder gar als Denkmäler für den Ruhm des Imperiums. Das Leben hier ist friedlich und wohlhabend, jedoch oft von den harten Realitäten der restlichen Galaxis abgeschottet.",Fel|Ag,T,2|4,Social,7+1d5,
highborn,9,Highborn,Hochgeborener,highborn.png,"Highborn are individuals born into the ruling noble families of the Imperium. They enjoy privilege, wealth, and influence, often holding political, military, or economic power. Raised in luxury and trained in leadership, diplomacy, and intrigue, they wield authority with an air of superiority and entitlement.","Hochgeborene sind Individuen, die in die herrschenden Adelsfamilien des Imperiums hineingeboren wurden. Sie genießen Privilegien, Reichtum und Einfluss und bekleiden oft politische, militärische oder wirtschaftliche Machtpositionen. In Luxus aufgewachsen und in Führung, Diplomatie und Intrigen geschult, üben sie ihre Autorität mit einer Aura von Überlegenheit und Anspruchsdenken aus.",Fel|Int,T,4|10,Fel,9+1d5,
hive,10,Hive World,Makropolwelt,hive.png,"Hive worlds are densely populated planets covered in massive, sprawling cities called hive cities. These towering urban megastructures house billions of people in a grim, industrial environment. Life is harsh and brutal, with the majority of the population living in poverty, while the elite rule from fortified spires high above.","Makropolwelten sind dicht besiedelte Planeten, die von riesigen, weitläufigen Städten bedeckt sind, den sogenannten Makropolen. Diese gigantischen urbanen Megastrukturen beherbergen Milliarden von Menschen in einer düsteren, industriellen Umgebung. Das Leben ist hart und brutal: Die Mehrheit der Bevölkerung lebt in Armut, während die Elite aus befestigten Türmen hoch oben regiert.",Ag|Per,WP,2|6,Per,8+1d5,
