ID,NAME,NAME_DE,IMAGE,Aptitudes,Description,Descritpion_DE,Talents,AName,ADesc,ANameDe,ADescDe
ace,Ace,Elitepilot,ace.png,"Agility, Finesse, Perception, Tech, Willpower","An ace pilot is a master of aerial or void-based vehicles, excelling in combat maneuvers, precision flying, and handling extreme conditions. Their skill sets them apart, making them invaluable in dogfights, fleet operations, or high-stakes missions.","Ein Elitepilot ist ein Meister der Steuerung von Luft- oder Raumfahrzeugen und brilliert in Kampfmanövern, präzisem Fliegen und dem Umgang mit extremen Bedingungen. Seine Fähigkeiten heben ihn hervor und machen ihn in Luftkämpfen, Flottenoperationen oder risikoreichen Missionen unverzichtbar.",Hard Target or Hotshot Pilot,Right Stuff,"In addition to the normal uses of Fate points, an Ace character may spend a Fate point to automatically succeed at an Operate or Survival skill test involving vehicles or living steeds with a number of degrees of success equal to his Agility bonus.",Das Zeug dazu,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Elitepilot einen Schicksalspunkt ausgeben, um automatisch eine Fertigkeitsprobe in Bedienen oder Überleben zu bestehen, wenn diese Fahrzeuge oder lebende Reittiere betrifft, mit einer Anzahl von Erfolgsgraden, die seinem Beweglichkeitsbonus entspricht."
agent,Agent,Agent,agent.png,"Intelligence, Agility, Fellowship, Perception, Tech","An agent is a skilled operative working covertly or overtly to accomplish specific missions or enforce the will of their superiors. They are masters of adaptability, capable of acting as spies, negotiators, enforcers, or saboteurs, depending on the needs of their organization.","Ein Agent ist ein geschickter Operateur, der verdeckt oder offen arbeitet, um bestimmte Missionen zu erfüllen oder den Willen seiner Vorgesetzten durchzusetzen. Sie sind Meister der Anpassungsfähigkeit und können je nach den Bedürfnissen ihrer Organisation als Spione, Unterhändler, Vollstrecker oder Saboteure agieren.",Keen Intuition or Disarm,All the right questions,"When making an Awareness, Inquiry, or Scrutiny skill test, an Agent character adds an extra number of Degrees of Success to a successful test, equal to half his Perception Bonus.",Die richtigen Fragen,"Bei einer Fertigkeitsprobe in Wahrnehmung, Nachforschung oder Beobachten fügt ein Agent einem erfolgreichen Test eine zusätzliche Anzahl von Erfolgsgraden hinzu, die der Hälfte seines Wahrnehmungsbonus entspricht."
artisan,Artisan,Handwerksmeister,artisan.png,"Agility, Perception, Fieldcraft, Tech, Intelligence","An artisan is a master craftsman and creator, skilled in producing exceptional works of art, intricate designs, or advanced technology. Whether working with their hands, tools, or machinery, artisans combine creativity with precision, often leaving a lasting mark through their unique and valuable creations.","Ein Handwerksmeister ist ein meisterhafter Künstler und Schöpfer, der außergewöhnliche Kunstwerke, komplexe Designs oder fortschrittliche Technologien herstellt. Ob mit den Händen, Werkzeugen oder Maschinen, Handwerksmeister verbinden Kreativität mit Präzision und hinterlassen oft durch ihre einzigartigen und wertvollen Kreationen einen bleibenden Eindruck.",Resistance (Pick One) or Technical Knock,Master of Crafts,"In addition to the normal use of Fate Points, an Artisan character may spend a Fate point to automatically succeed at a Crafting test, adding a number of Degrees of Success equal to his Intelligence Bonus.",Meister der Handwerkskunst,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Handwerksmeister einen Schicksalspunkt ausgeben, um eine Handwerksprobe automatisch zu bestehen und eine Anzahl von Erfolgsgraden hinzuzufügen, die seinem Intelligenzbonus entspricht."
assassin,Assassin,Assassine,assassin.png,"Agility, Ballistic Skill or Weapon Skill, Fieldcraft, Finesse, Perception","An assassin is a master of stealth, precision, and lethality, trained to eliminate targets with deadly efficiency. Operating from the shadows, they rely on their agility, cunning, and expertise with weapons to complete their missions, often with surgical precision and without leaving a trace.","Ein Assassine ist ein Meister der Heimlichkeit, Präzision und Tödlichkeit, ausgebildet, um Ziele mit tödlicher Effizienz auszuschalten. Sie agieren aus den Schatten, nutzen ihre Beweglichkeit, Gerissenheit und Waffenkunst, um ihre Missionen mit chirurgischer Präzision und ohne Spuren zu hinterlassen, auszuführen.",Jaded or Leap Up,Sure Kill,"In addition to the normal uses of Fate points, when an Assassin successfully hits with an attack, he may spend a Fate point to inflict additional damage equal to his degrees of success on the attack roll on the first hit the attack inflicts.",Sicherer Tod,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Assassine, wenn er mit einem Angriff erfolgreich trifft, einen Schicksalspunkt ausgeben, um zusätzlichen Schaden in Höhe seiner Erfolgsgrade beim Angriffswurf auf den ersten Treffer des Angriffs zu verursachen."
brawler,Brawler,Schläger,brawler.png,"Agility, Finesse, Offense, Strength, Toughness or Weapon Skill","A brawler is a rough and tenacious fighter who thrives in close combat, relying on brute strength, raw aggression, and sheer determination. Skilled in unarmed or improvised fighting, they excel in chaotic, hand-to-hand brawls, often using their environment and physical resilience to overcome their opponents.","Ein Schläger ist ein harter und zäher Kämpfer, der im Nahkampf glänzt und sich auf rohe Kraft, unbändige Aggression und schiere Entschlossenheit verlässt. Versiert im unbewaffneten oder improvisierten Kampf, brilliert er in chaotischen Handgemengen und nutzt oft seine Umgebung und körperliche Widerstandskraft, um seine Gegner zu besiegen.",Ambidextrous or Street fighting,Lightning Reflexes,"In addition to the normal uses of Fate Points, a Brawler character may spend a Fate Point to gain one additional Reaction.",Blitzschnelle Reflexe,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Schläger einen Schicksalspunkt ausgeben, um eine zusätzliche Reaktion zu erhalten."
chirurgeon,Chirurgeon,Chirurg,chirurgeon.png,"Fieldcraft, Intelligence, Knowledge, Strength, Toughness","A chirurgeon is a highly skilled medical practitioner specializing in treating wounds, performing surgeries, and saving lives in dire situations. Often found on the battlefield or in grim conditions, they rely on their medical expertise and steady hands to mend the broken and bring the injured back from the brink of death.","Ein Chirurg ist ein hochqualifizierter Mediziner, der sich auf die Behandlung von Wunden, die Durchführung von Operationen und das Retten von Leben in extremen Situationen spezialisiert hat. Oft auf dem Schlachtfeld oder unter düsteren Bedingungen zu finden, verlassen sie sich auf ihr medizinisches Wissen und ihre ruhigen Hände, um Verletzte zu versorgen und sie vor dem Tod zu bewahren.",Resistance (Pick One) or Takedown,Dedicated Healer,"In addition to the normal uses of Fate points when a Chirurgeon character fails a test to provide First Aid, he can spend a Fate point to automatically succeed instead with the degrees of success equal to his Intelligence bonus. ",Engagierter Heiler,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Chirurg, wenn er eine Probe zur Ersten Hilfe nicht besteht, einen Schicksalspunkt ausgeben, um stattdessen automatisch zu bestehen, mit einer Anzahl von Erfolgsgraden, die seinem Intelligenzbonus entspricht."
commander,Commander,Kommandant,commander.png,"Fellowship, Intelligence, Leadership, Social, Weapon Skil","A commander is a skilled leader responsible for directing troops, managing strategies, and making critical decisions in the heat of battle. With a combination of tactical acumen, authority, and the ability to inspire their forces, commanders play a pivotal role in ensuring victory and maintaining discipline on the battlefield.","Ein Kommandant ist ein erfahrener Anführer, der für die Führung von Truppen, die Ausarbeitung von Strategien und die Entscheidungsfindung in der Hitze des Gefechts verantwortlich ist. Mit einer Kombination aus taktischem Geschick, Autorität und der Fähigkeit, seine Kräfte zu inspirieren, spielt der Kommandant eine entscheidende Rolle bei der Sicherung des Sieges und der Aufrechterhaltung der Disziplin auf dem Schlachtfeld.",Combat Formation or Heroic Inspiration,Follow my Lead!,"When using a Fate Point to grant a bonus to a roll, a Commander character may instead grant the bonus to another character, who gains +20 to the roll instead of +10.",Folgt meinem Beispiel!,"Wenn ein Kommandant einen Schicksalspunkt verwendet, um einen Bonus auf einen Wurf zu gewähren, kann er stattdessen den Bonus einem anderen Charakter gewähren, der +20 auf den Wurf anstelle von +10 erhält."
crusader,Crusader,Kreuzritter,crusader.png,"Knowledge, Offence, Strength, Toughness, Willpower","A crusader is a zealous warrior dedicated to a righteous cause, often fighting in the name of the Emperor or a holy mission. Clad in heavy armor and wielding weapons of faith and steel, they are unyielding on the battlefield, serving as both defenders of the faithful and relentless avengers of the Imperium's enemies.","Ein Kreuzritter ist ein eifriger Krieger, der sich einer gerechten Sache verschrieben hat, oft im Namen des Imperators oder einer heiligen Mission kämpfend. Gekleidet in schwere Rüstung und bewaffnet mit Waffen aus Glauben und Stahl, sind sie unnachgiebig auf dem Schlachtfeld und dienen sowohl als Verteidiger der Gläubigen als auch als unerbittliche Rächer der Feinde des Imperiums.",Bodyguard or Deny the Witch,Smite the Unholy,"In addition to the normal uses of Fate points, a Crusader character can also spend a Fate Point to automatically pass a Fear test with a number of degrees of success equal to his Willpower bonus. In addition, whenever he inflicts a hit with a melee attack against a target with the Fear (X) trait, he inflicts X additional damage and counts his weapon’s penetration as being X higher.",Zerschmettere das Unheilige,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Kreuzritter-Charakter einen Schicksalspunkt ausgeben, um automatisch eine Furchtprobe zu bestehen, mit einer Anzahl von Erfolgsgraden, die seinem Willenskraftbonus entspricht. Darüber hinaus fügt er, wenn er mit einem Nahkampfangriff einen Treffer gegen ein Ziel mit der Eigenschaft Furcht (X) erzielt, X zusätzlichen Schaden zu und zählt die Durchschlagskraft seiner Waffe als um X höher."
desperado,Desperado,Desperado,desperado.png,"Agility, Ballistic Skill, Defence, Fellowship, Finesse","A desperado is a daring and resourceful individual who lives by their own rules, often on the fringes of society. Quick with a gun and quicker with their wits, they thrive in lawless environments, relying on their charisma and combat skills to navigate a dangerous and unpredictable world.","Ein Desperado ist eine wagemutige und einfallsreiche Person, die nach ihren eigenen Regeln lebt und sich oft am Rande der Gesellschaft bewegt. Schnell mit der Waffe und noch schneller im Denken, gedeihen sie in gesetzlosen Umgebungen und verlassen sich auf ihren Charme und ihre Kampffähigkeiten, um in einer gefährlichen und unberechenbaren Welt zu überleben.",Catfall or Quick Draw,Move and Shoot,"Once per round, after performing a Move action, a Desperado character may perform a single Standard Attack with a Pistol weapon he is currently wielding as a Free Action.",Bewegen und Schießen,"Einmal pro Runde kann ein Desperado-Charakter nach der Durchführung einer Bewegungsaktion einen einzelnen Standardangriff mit einer Pistolenwaffe, die er gerade führt, als freie Aktion ausführen."
emissary,Emissary,Gesandter,emmisarry.png,"Fellowship, Fieldcraft, Perception, Social, Willpower","An emissary is a diplomat and envoy, skilled in negotiation, persuasion, and fostering alliances. Tasked with representing their faction, house, or organization, they navigate complex social and political landscapes to build relationships, broker deals, and further their agenda with tact and eloquence.","Ein Gesandter ist ein Diplomat und Abgesandter, der in Verhandlungen, Überzeugungskunst und dem Aufbau von Allianzen bewandert ist. Mit der Aufgabe betraut, ihre Fraktion, ihr Haus oder ihre Organisation zu repräsentieren, navigieren sie durch komplexe soziale und politische Landschaften, um Beziehungen aufzubauen, Vereinbarungen zu treffen und ihre Ziele mit Taktgefühl und Eloquenz voranzutreiben.",Contact Network or Keen Intuition,Master Ambassador,"In addition to the normal uses of Fate points, when a Emissary is dealing with Non-Imperial, he can spend a Fate point to automatically succeed a Opposed Interaction Test with the degrees of success equal to his Fellowship Bonus.",Meisterbotschafter,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Gesandter, wenn er mit Nicht-Imperialen zu tun hat, einen Schicksalspunkt ausgeben, um automatisch eine entgegengesetzte Interaktionsprobe mit einer Anzahl von Erfolgsgraden zu bestehen, die seinem Einflussbonus entspricht."
